arch,cpu,mem,localdisk,gpumem
arm64,2.0,8,-,-
arm64,2.0,16,-,-
arm64,4.0,8,-,-
arm64,4.0,16,-,-
arm64,4.0,16,375,-
arm64,4.0,32,-,-
arm64,4.0,32,375,-
arm64,8.0,16,-,-
arm64,8.0,32,-,-
arm64,8.0,32,750,-
arm64,8.0,64,-,-
arm64,8.0,64,750,-
arm64,16.0,32,-,-
arm64,16.0,64,-,-
arm64,16.0,64,1500,-
arm64,16.0,128,-,-
arm64,16.0,128,1500,-
arm64,32.0,64,-,-
arm64,32.0,128,-,-
arm64,32.0,128,2250,-
arm64,32.0,256,-,-
arm64,32.0,256,2250,-
arm64,48.0,96,-,-
arm64,48.0,192,-,-
arm64,48.0,192,3750,-
arm64,48.0,384,-,-
arm64,48.0,384,3750,-
arm64,64.0,128,-,-
arm64,64.0,256,-,-
arm64,64.0,256,5250,-
arm64,64.0,512,-,-
arm64,64.0,512,5250,-
arm64,72.0,144,-,-
arm64,72.0,288,-,-
arm64,72.0,288,6000,-
arm64,72.0,576,-,-
arm64,72.0,576,6000,-
x86_64,2.0,8,-,-
x86_64,2.0,8,375,-
x86_64,2.0,8,750,-
x86_64,2.0,8,1500,-
x86_64,2.0,8,3000,-
x86_64,2.0,8,6000,-
x86_64,2.0,8,9000,-
x86_64,2.0,16,-,-
x86_64,2.0,16,375,-
x86_64,2.0,16,750,-
x86_64,2.0,16,1500,-
x86_64,2.0,16,3000,-
x86_64,2.0,16,6000,-
x86_64,2.0,16,9000,-
x86_64,4.0,8,-,-
x86_64,4.0,16,-,-
x86_64,4.0,16,375,-
x86_64,4.0,16,750,-
x86_64,4.0,16,1500,-
x86_64,4.0,16,3000,-
x86_64,4.0,16,6000,-
x86_64,4.0,16,9000,-
x86_64,4.0,32,-,-
x86_64,4.0,32,375,-
x86_64,4.0,32,750,-
x86_64,4.0,32,1500,-
x86_64,4.0,32,3000,-
x86_64,4.0,32,6000,-
x86_64,4.0,32,9000,-
x86_64,8.0,8,-,-
x86_64,8.0,8,375,-
x86_64,8.0,8,750,-
x86_64,8.0,8,1500,-
x86_64,8.0,8,3000,-
x86_64,8.0,8,6000,-
x86_64,8.0,8,9000,-
x86_64,8.0,16,-,-
x86_64,8.0,32,-,-
x86_64,8.0,32,375,-
x86_64,8.0,32,750,-
x86_64,8.0,32,1500,-
x86_64,8.0,32,3000,-
x86_64,8.0,32,6000,-
x86_64,8.0,32,9000,-
x86_64,8.0,64,-,-
x86_64,8.0,64,375,-
x86_64,8.0,64,750,-
x86_64,8.0,64,1500,-
x86_64,8.0,64,3000,-
x86_64,8.0,64,6000,-
x86_64,8.0,64,9000,-
x86_64,16.0,16,-,-
x86_64,16.0,16,375,-
x86_64,16.0,16,750,-
x86_64,16.0,16,1500,-
x86_64,16.0,16,3000,-
x86_64,16.0,16,6000,-
x86_64,16.0,16,9000,-
x86_64,16.0,32,-,-
x86_64,16.0,64,-,-
x86_64,16.0,64,375,-
x86_64,16.0,64,750,-
x86_64,16.0,64,1500,-
x86_64,16.0,64,3000,-
x86_64,16.0,64,6000,-
x86_64,16.0,64,9000,-
x86_64,16.0,128,-,-
x86_64,16.0,128,375,-
x86_64,16.0,128,750,-
x86_64,16.0,128,1500,-
x86_64,16.0,128,3000,-
x86_64,16.0,128,6000,-
x86_64,16.0,128,9000,-
x86_64,32.0,32,-,-
x86_64,32.0,32,750,-
x86_64,32.0,32,1500,-
x86_64,32.0,32,3000,-
x86_64,32.0,32,6000,-
x86_64,32.0,32,9000,-
x86_64,32.0,64,-,-
x86_64,32.0,128,-,-
x86_64,32.0,128,750,-
x86_64,32.0,128,1500,-
x86_64,32.0,128,3000,-
x86_64,32.0,128,6000,-
x86_64,32.0,128,9000,-
x86_64,32.0,256,-,-
x86_64,32.0,256,750,-
x86_64,32.0,256,1500,-
x86_64,32.0,256,3000,-
x86_64,32.0,256,6000,-
x86_64,32.0,256,9000,-
x86_64,48.0,48,-,-
x86_64,48.0,48,750,-
x86_64,48.0,48,1500,-
x86_64,48.0,48,3000,-
x86_64,48.0,48,6000,-
x86_64,48.0,48,9000,-
x86_64,48.0,96,-,-
x86_64,48.0,192,-,-
x86_64,48.0,192,750,-
x86_64,48.0,192,1500,-
x86_64,48.0,192,3000,-
x86_64,48.0,192,6000,-
x86_64,48.0,192,9000,-
x86_64,48.0,384,-,-
x86_64,48.0,384,750,-
x86_64,48.0,384,1500,-
x86_64,48.0,384,3000,-
x86_64,48.0,384,6000,-
x86_64,48.0,384,9000,-
x86_64,64.0,64,-,-
x86_64,64.0,64,1500,-
x86_64,64.0,64,3000,-
x86_64,64.0,64,6000,-
x86_64,64.0,64,9000,-
x86_64,64.0,128,-,-
x86_64,64.0,256,-,-
x86_64,64.0,256,1500,-
x86_64,64.0,256,3000,-
x86_64,64.0,256,6000,-
x86_64,64.0,256,9000,-
x86_64,64.0,512,-,-
x86_64,64.0,512,1500,-
x86_64,64.0,512,3000,-
x86_64,64.0,512,6000,-
x86_64,64.0,512,9000,-
x86_64,80.0,80,-,-
x86_64,80.0,80,1500,-
x86_64,80.0,80,3000,-
x86_64,80.0,80,6000,-
x86_64,80.0,80,9000,-
x86_64,80.0,160,-,-
x86_64,80.0,320,-,-
x86_64,80.0,320,1500,-
x86_64,80.0,320,3000,-
x86_64,80.0,320,6000,-
x86_64,80.0,320,9000,-
x86_64,80.0,640,-,-
x86_64,80.0,640,1500,-
x86_64,80.0,640,3000,-
x86_64,80.0,640,6000,-
x86_64,80.0,640,9000,-
x86_64,96.0,96,-,-
x86_64,96.0,96,3000,-
x86_64,96.0,96,6000,-
x86_64,96.0,96,9000,-
x86_64,96.0,384,-,-
x86_64,96.0,384,3000,-
x86_64,96.0,384,6000,-
x86_64,96.0,384,9000,-
x86_64,96.0,768,-,-
x86_64,96.0,768,3000,-
x86_64,96.0,768,6000,-
x86_64,96.0,768,9000,-
x86_64,128.0,128,-,-
x86_64,128.0,128,3000,-
x86_64,128.0,128,6000,-
x86_64,128.0,128,9000,-
x86_64,128.0,512,-,-
x86_64,128.0,512,3000,-
x86_64,128.0,512,6000,-
x86_64,128.0,512,9000,-
x86_64,224.0,224,-,-
x86_64,224.0,224,3000,-
x86_64,224.0,224,6000,-
x86_64,224.0,224,9000,-
x86_64,224.0,896,-,-
x86_64,224.0,896,3000,-
x86_64,224.0,896,6000,-
x86_64,224.0,896,9000,-
